product_id,product_category_name,month_year,qty,total_price,freight_price,unit_price,product_score,customers,weekday,weekend,holiday,month,year,lag_price,comp_1,ps1,fp1,comp_2,ps2,fp2,comp_3,ps3,fp3
P0001,electronics,2017-01,43.32,2513.62,11.46,58.03,3.73,33,20,8,0,1,2017,58.03,56.14,4.14,5.9,40.11,4.03,7.98,77.7,4.7,5.64
P0001,electronics,2017-02,43.62,2598.19,11.95,59.56,3.73,27,18,8,0,2,2017,58.03,57.3,4.28,6.23,72.43,4.52,5.55,58.97,3.92,10.92
P0001,electronics,2017-03,53.03,3122.27,10.62,58.88,3.73,49,20,8,0,3,2017,59.56,38.85,3.72,4.87,36.54,3.89,5.56,45.96,4.73,8.14
P0001,electronics,2017-04,57.16,3202.21,9.73,56.02,3.73,37,20,8,0,4,2017,58.88,66.96,3.29,9.97,34.61,4.11,5.71,42.54,4.44,2.42
P0001,electronics,2017-05,70.76,4138.12,11.59,58.48,3.73,41,20,8,0,5,2017,56.02,49.18,4.2,4.77,23.69,3.41,1.82,36.71,4.54,4.21
P0001,electronics,2017-06,50.06,3006.42,12.03,60.06,3.73,46,20,8,0,6,2017,58.48,84.12,3.36,11.13,69.81,3.3,5.34,86.02,3.2,14.53
P0001,electronics,2017-07,41.45,2447.51,10.95,59.05,3.73,47,20,8,0,7,2017,60.06,60.34,4.27,5.56,77.08,4.28,14.81,65.58,3.61,9.12
P0001,electronics,2017-08,35.33,2200.33,12.04,62.29,3.73,27,20,8,0,8,2017,59.05,72.84,3.99,4.75,76.71,4.28,14.72,57.09,4.29,5.01
P0001,electronics,2017-09,24.47,1489.0,10.4,60.86,3.73,19,20,8,0,9,2017,62.29,56.0,4.25,4.28,74.39,4.24,7.39,129.8,4.04,17.24
P0001,electronics,2017-10,32.65,1903.31,11.31,58.3,3.73,18,20,8,0,10,2017,60.86,32.54,3.88,1.58,30.92,3.76,2.35,44.5,4.28,8.58
P0001,electronics,2017-11,39.34,2273.7,11.03,57.8,3.73,28,20,8,1,11,2017,58.3,32.83,3.96,2.8,45.99,4.36,9.2,39.5,4.07,4.06
P0001,electronics,2017-12,37.6,2236.21,12.16,59.47,3.73,20,20,8,1,12,2017,57.8,33.43,4.38,3.94,129.74,3.74,15.55,54.27,4.18,10.02
P0001,electronics,2018-01,50.04,2875.46,11.32,57.46,3.73,35,20,8,0,1,2018,59.47,52.6,3.62,9.25,32.13,2.46,5.45,31.61,4.94,6.24
P0001,electronics,2018-02,59.21,3592.66,12.29,60.67,3.73,65,18,8,0,2,2018,57.46,35.71,2.4,6.19,49.21,3.83,5.64,50.3,3.74,8.42
P0001,electronics,2018-03,55.13,3227.78,10.8,58.55,3.73,40,20,8,0,3,2018,60.67,123.8,3.76,17.53,140.31,3.25,22.57,104.82,3.56,7.03
P0002,electronics,2017-01,21.5,1375.02,10.46,63.96,3.37,23,20,8,0,1,2017,63.96,46.48,4.96,9.14,49.39,4.67,7.59,58.54,3.53,7.81
P0002,electronics,2017-02,21.95,1420.48,11.62,64.71,3.37,18,18,8,0,2,2017,63.96,58.62,4.04,5.84,43.99,4.78,7.34,52.31,3.57,7.8
P0002,electronics,2017-03,37.92,2428.47,10.55,64.05,3.37,39,20,8,0,3,2017,64.71,44.26,3.63,2.95,40.96,3.83,5.14,35.07,4.06,5.21
P0002,electronics,2017-04,26.73,1758.19,12.36,65.78,3.37,12,20,8,0,4,2017,64.05,46.19,4.17,4.88,60.33,3.78,11.32,23.09,3.42,1.99
P0002,electronics,2017-05,29.14,1819.64,10.63,62.44,3.37,35,20,8,0,5,2017,65.78,48.81,4.15,4.53,35.76,4.16,5.5,23.33,3.45,1.96
P0002,electronics,2017-06,29.24,1898.94,11.19,64.94,3.37,17,20,8,0,6,2017,62.44,92.2,3.35,14.3,84.43,3.49,11.43,68.91,3.36,5.33
P0002,electronics,2017-07,22.09,1422.99,11.21,64.41,3.37,25,20,8,0,7,2017,64.94,65.6,4.47,6.28,78.12,4.14,4.88,80.43,4.34,14.29
P0002,electronics,2017-08,23.93,1509.24,10.88,63.06,3.37,23,20,8,0,8,2017,64.41,78.44,4.32,15.26,77.39,3.47,5.31,53.12,3.98,8.57
P0002,electronics,2017-09,14.81,952.43,11.03,64.33,3.37,14,20,8,0,9,2017,63.06,53.92,4.2,4.28,96.66,4.66,14.7,72.53,4.29,3.72
P0002,electronics,2017-10,18.66,1230.93,11.55,65.98,3.37,14,20,8,0,10,2017,64.33,35.58,4.21,6.07,31.9,4.23,2.63,22.59,4.14,1.29
P0002,electronics,2017-11,20.98,1402.82,12.07,66.85,3.37,18,20,8,1,11,2017,65.98,33.04,3.83,2.93,23.78,4.23,2.52,22.97,4.06,1.39
P0002,electronics,2017-12,22.37,1563.43,12.64,69.88,3.37,9,20,8,1,12,2017,66.85,31.64,4.25,3.72,61.19,3.41,4.25,120.93,3.68,15.16
P0002,electronics,2018-01,18.2,1287.72,12.43,70.74,3.37,13,20,8,0,1,2018,69.88,71.82,3.7,4.28,105.08,4.19,20.16,46.2,3.85,6.03
P0002,electronics,2018-02,18.47,1327.28,11.69,71.85,3.37,16,18,8,0,2,2018,70.74,103.38,4.23,16.56,47.57,3.88,5.96,34.61,4.87,6.8
P0002,electronics,2018-03,21.76,1510.05,10.9,69.39,3.37,10,20,8,0,3,2018,71.85,98.19,3.29,10.49,97.27,3.26,12.24,102.43,3.55,6.89
P0003,electronics,2017-01,39.09,913.75,1.93,23.37,3.38,39,20,8,0,1,2017,23.37,54.69,4.01,9.85,41.36,4.01,8.41,56.82,3.39,7.85
P0003,electronics,2017-02,30.69,729.09,1.66,23.76,3.38,25,18,8,0,2,2017,23.37,42.53,4.76,7.48,52.3,4.55,8.38,41.29,3.97,6.99
P0003,electronics,2017-03,45.38,1074.32,1.68,23.68,3.38,33,20,8,0,3,2017,23.76,43.75,3.72,3.04,38.19,4.4,4.29,44.3,4.86,7.57
P0003,electronics,2017-04,38.22,910.88,1.98,23.83,3.38,29,20,8,0,4,2017,23.68,63.43,3.4,10.25,58.03,3.71,11.47,45.1,4.18,4.71
P0003,electronics,2017-05,34.59,831.79,1.97,24.05,3.38,14,20,8,0,5,2017,23.83,36.97,4.5,2.15,36.28,4.53,4.32,46.49,4.88,5.61
